"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"hsa-mir-611-P",-0.186618450837609,8.00137349597266,-1.44041156236462,0.157003090562915,0.33875343679176,-5.50661315538762,"Not Significant"
"uc.427+",0.246393618241266,10.0179177271208,1.44040733971296,0.157004278419306,0.33875343679176,-5.50661896037331,"Not Significant"
"Hcd731 left.1",-0.17320878467156,8.76696426376462,-1.44003958431014,0.157107757201715,0.338848205458202,-5.50712446386695,"Not Significant"
"uc.274+A",-0.150389310975667,7.61097867300627,-1.44001604405708,0.15711438276519,0.338848205458202,-5.5071568174798,"Not Significant"
"HPR250 left",-0.262440246834831,8.28667989950415,-1.43976103967661,0.157186169525251,0.33893164370153,-5.50750726359379,"Not Significant"
"blank.195",-0.162574097671047,6.78001342230864,-1.439603411658,0.157230556552539,0.338955978757474,-5.50772385970307,"Not Significant"
"uc.78+",-0.183884953211942,10.3447312185676,-1.43923775107003,0.157333562067923,0.33906723704392,-5.50822622991817,"Not Significant"
"uc.4+A.1",-0.155620554705,7.11729710359864,-1.43918512976843,0.157348389690694,0.33906723704392,-5.50829851524494,"Not Significant"
"Blank.1126",0.159032161522727,6.59852499194859,1.43873149718069,0.157476259679972,0.339271386308209,-5.50892156625352,"Not Significant"
"Blank.1042",0.185199715107558,6.63327334074745,1.43790790163804,0.157708623174394,0.339700526147623,-5.5100522956539,"Not Significant"
"hsa-mir-363*-5p-A",-0.287683088447489,10.1285450704843,-1.43670614570684,0.158048160524271,0.34032075686604,-5.51170115577337,"Not Significant"
"Hcd765 right",0.161785102472089,7.4052641294169,1.43654125513568,0.158094792457853,0.34032075686604,-5.51192729516368,"Not Significant"
"HPR189 left.1",-0.157751209062782,7.07691244927897,-1.43653601887253,0.15809627347771,0.34032075686604,-5.51193447605831,"Not Significant"
"uc.394+A",0.256940660622537,8.10081380153882,1.4363229396758,0.158156549829484,0.340378955496829,-5.51222666799886,"Not Significant"
"Blank.1741",0.174802863350812,6.51713411256838,1.43593759725146,0.158265602163566,0.340542081562286,-5.51275498186865,"Not Significant"
"uc.9+A.1",-0.231396661084485,8.49017223111466,-1.43499860855887,0.158531583814138,0.341042734927894,-5.51404182028509,"Not Significant"
"hsa-mir-552-P",0.221222046129182,8.02795705781278,1.43469489578808,0.158617689634546,0.34115629948703,-5.51445788058585,"Not Significant"
"hsa-mir-603-A.1",0.262663659654146,8.62995322974955,1.43433293146094,0.158720358256486,0.341305432286103,-5.51495363622672,"Not Significant"
"mmu-mir-202-A",-0.161803860806129,7.44492351292282,-1.43403904166009,0.158803756316952,0.341413072577281,-5.51535607183321,"Not Significant"
